Human Prompt,Cypher Query
"Find the class with the name 'ProductRepo'.","MATCH (c:Class {name:'ProductRepo'}) RETURN c.name"
"What does 'saveProduct' call?","MATCH (m:Method {name:'saveProduct'})-[:CALLS]->(callee) RETURN callee.name"
"Who calls 'deleteProduct'?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'deleteProduct'}) RETURN caller.name"
"Get all fields for the 'ProductDetails' class.","MATCH (c:Class {name:'ProductDetails'})-[:HAS_FIELD]->(f) RETURN f.name"
"What interfaces are in the 'dao' package?","MATCH (p:Package {name:'dao'})-[:CONTAINS]->(i:Interface) RETURN i.name"
"Show the signature of 'getAll' in 'BaseDao'.","MATCH (i:Interface {name:'BaseDao'})-[:HAS_METHOD]->(m:Method {name:'getAll'}) RETURN m.signature"
"Which classes have no methods?","MATCH (c:Class) WHERE NOT (c)-[:HAS_METHOD]->() RETURN c.name"
"Find all methods whose name ends with 'ById'.","MATCH (m:Method) WHERE m.name ENDS WITH 'ById' RETURN m.name"
"Get the file path for the 'ModelMapper' class.","MATCH (c:Class {name:'ModelMapper'}) RETURN c.file_path"
"What does the 'map' method call?","MATCH (m:Method {name:'map'})-[:CALLS]->(callee) RETURN callee.name"
"Which methods are called by 'convert'?","MATCH (m:Method {name:'convert'})-[:CALLS]->(callee) RETURN callee.name"
"Find all methods in 'DtoConverter'.","MATCH (c:Class {name:'DtoConverter'})-[:HAS_METHOD]->(m) RETURN m.name"
"Who calls 'toDto'?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'toDto'}) RETURN caller.name"
"List the fields for 'GenericDto' class.","MATCH (c:Class {name:'GenericDto'})-[:HAS_FIELD]->(f) RETURN f.name"
"Find all enums in the 'dto' package.","MATCH (p:Package {name:'dto'})-[:CONTAINS]->(e:Enum) RETURN e.name"
"Get the code for 'fromEntity' method in 'UserConverter'.","MATCH (c:Class {name:'UserConverter'})-[:HAS_METHOD]->(m:Method {name:'fromEntity'}) RETURN m.code"
"Which classes in 'com.example.converter' have a field named 'instance'?","MATCH (p:Package {name:'com.example.converter'})-[:CONTAINS]->(c:Class)-[:HAS_FIELD]->(f:Field {name:'instance'}) RETURN c.name"
"Show me all methods that are 'protected'.","MATCH (m:Method) WHERE m.signature CONTAINS 'protected' RETURN m.name"
"What is the parent class of 'BaseConverter'?","MATCH (c:Class {name:'BaseConverter'}) RETURN c.extension"
"Find method calls from any 'Factory' to any 'Builder'.","MATCH (f:Class)-[:HAS_METHOD]->(fm:Method)-[:CALLS]->(bm:Method)<-[:HAS_METHOD]-(b:Class) WHERE f.name ENDS WITH 'Factory' AND b.name ENDS WITH 'Builder' RETURN f.name, fm.name, b.name, bm.name"
"List all methods in the 'FileHandler' class.","MATCH (c:Class {name:'FileHandler'})-[:HAS_METHOD]->(m) RETURN m.signature"
"Which other methods call the 'readFile' method?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'readFile'}) RETURN caller.name"
"What are the fields in the 'FileData' class?","MATCH (c:Class {name:'FileData'})-[:HAS_FIELD]->(f) RETURN f.name"
"Find all classes in the 'com.example.io' package.","MATCH (p:Package {name:'com.example.io'})-[:CONTAINS]->(c:Class) RETURN c.name"
"Get the method signature for 'writeFile' in 'FileHandler'.","MATCH (c:Class {name:'FileHandler'})-[:HAS_METHOD]->(m:Method {name:'writeFile'}) RETURN m.signature"
"What methods does 'closeStream' call?","MATCH (m:Method {name:'closeStream'})-[:CALLS]->(callee) RETURN callee.name"
"Which classes implement the 'Closeable' interface?","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name:'Closeable'}) RETURN c.name"
"Find all methods that return a 'File'.","MATCH (m:Method) WHERE m.signature ENDS WITH 'File' RETURN m.name"
"How many classes are in the 'util' package?","MATCH (p:Package {name:'util'})-[:CONTAINS]->(c:Class) RETURN count(c)"
"Show me all the methods in the 'HttpConnection' class.","MATCH (c:Class {name:'HttpConnection'})-[:HAS_METHOD]->(m) RETURN m.signature"
"Who calls the 'connect' method?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'connect'}) RETURN caller.name"
"List all fields in the 'Request' class.","MATCH (c:Class {name:'Request'})-[:HAS_FIELD]->(f) RETURN f.name"
"Find all classes in the 'com.example.net' package.","MATCH (p:Package {name:'com.example.net'})-[:CONTAINS]->(c:Class) RETURN c.name"
"Get the code for the 'disconnect' method.","MATCH (m:Method {name:'disconnect'}) RETURN m.code"
"Which classes import 'java.net.Socket'?","MATCH (c:Class)-[:IMPORTS]->(i:Class {name:'java.net.Socket'}) RETURN c.name"
"Find all methods that have a 'final' keyword in their signature.","MATCH (m:Method) WHERE m.signature CONTAINS ' final ' RETURN m.name"
"Count method calls for each method.","MATCH (caller:Method)-[r:CALLS]->(callee:Method) RETURN callee.name, count(r)"
"Show me the path of the 'Constants' class.","MATCH (c:Class {name:'Constants'}) RETURN c.file_path"
"List all methods that are both 'public' and 'static'.","MATCH (m:Method) WHERE m.signature STARTS WITH 'public static' RETURN m.name"
"Find the class with the name 'Validator'.","MATCH (c:Class {name:'Validator'}) RETURN c.name"
"What does 'validate' method call?","MATCH (m:Method {name:'validate'})-[:CALLS]->(callee) RETURN callee.name"
"Who calls 'check'?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'check'}) RETURN caller.name"
"Get all fields for the 'Validation' class.","MATCH (c:Class {name:'Validation'})-[:HAS_FIELD]->(f) RETURN f.name"
"What interfaces are in the 'validation' package?","MATCH (p:Package {name:'validation'})-[:CONTAINS]->(i:Interface) RETURN i.name"
"Show the signature of 'isValid' in 'Validatable' interface.","MATCH (i:Interface {name:'Validatable'})-[:HAS_METHOD]->(m:Method {name:'isValid'}) RETURN m.signature"
"Which classes have no superclass?","MATCH (c:Class) WHERE c.extension IS NULL RETURN c.name"
"Find all methods whose name contains 'config'.","MATCH (m:Method) WHERE m.name CONTAINS 'config' RETURN m.name"
"Get the file path for the 'AppConfiguration' class.","MATCH (c:Class {name:'AppConfiguration'}) RETURN c.file_path"
"What does the 'load' method call?","MATCH (m:Method {name:'load'})-[:CALLS]->(callee) RETURN callee.name"
"Which methods are called by 'save'?","MATCH (m:Method {name:'save'})-[:CALLS]->(callee) RETURN callee.name"
"Find all methods in 'ConfigurationManager'.","MATCH (c:Class {name:'ConfigurationManager'})-[:HAS_METHOD]->(m) RETURN m.name"
"Who calls 'getConfig'?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'getConfig'}) RETURN caller.name"
"List the fields for 'Config' class.","MATCH (c:Class {name:'Config'})-[:HAS_FIELD]->(f) RETURN f.name"
"Find all interfaces in the 'config' package.","MATCH (p:Package {name:'config'})-[:CONTAINS]->(i:Interface) RETURN i.name"
"Get the code for 'getProperty' method.","MATCH (m:Method {name:'getProperty'}) RETURN m.code"
"Which classes in 'com.example.config' implement an interface?","MATCH (p:Package {name:'com.example.config'})-[:CONTAINS]->(c:Class)-[:IMPLEMENTS_INTERFACE]->(i) RETURN c.name, i.name"
"Show me all methods that return 'void'.","MATCH (m:Method) WHERE m.signature CONTAINS ' void ' RETURN m.name"
"What is the parent class of 'BaseConfig'?","MATCH (c:Class {name:'BaseConfig'}) RETURN c.extension"
"Find method calls from any 'Manager' to any 'Provider'.","MATCH (mgr:Class)-[:HAS_METHOD]->(mgr_m:Method)-[:CALLS]->(p_m:Method)<-[:HAS_METHOD]-(p:Class) WHERE mgr.name ENDS WITH 'Manager' AND p.name ENDS WITH 'Provider' RETURN mgr.name, p.name"
"List all methods in the 'Provider' class.","MATCH (c:Class {name:'Provider'})-[:HAS_METHOD]->(m) RETURN m.signature"
"Which other methods call the 'get' method?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'get'}) RETURN caller.name"
"What are the fields in the 'ProviderData' class?","MATCH (c:Class {name:'ProviderData'})-[:HAS_FIELD]->(f) RETURN f.name"
"Find all classes in the 'com.example.provider' package.","MATCH (p:Package {name:'com.example.provider'})-[:CONTAINS]->(c:Class) RETURN c.name"
"Get the method signature for 'create' in 'ProviderFactory'.","MATCH (c:Class {name:'ProviderFactory'})-[:HAS_METHOD]->(m:Method {name:'create'}) RETURN m.signature"
"What methods does 'provide' call?","MATCH (m:Method {name:'provide'})-[:CALLS]->(callee) RETURN callee.name"
"Which classes implement the 'Provider' interface?","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name:'Provider'}) RETURN c.name"
"Find all methods that return a 'Provider'.","MATCH (m:Method) WHERE m.signature ENDS WITH 'Provider' RETURN m.name"
"How many interfaces are in the project?","MATCH (i:Interface) RETURN count(i)"
"Show me all the methods in the 'Parser' class.","MATCH (c:Class {name:'Parser'})-[:HAS_METHOD]->(m) RETURN m.signature"
"Who calls the 'parse' method in 'Parser'?","MATCH (caller:Method)-[:CALLS]->(callee:Method {name:'parse'})<-[:HAS_METHOD]-(:Class {name:'Parser'}) RETURN caller.name"
"List all fields in the 'ParseResult' class.","MATCH (c:Class {name:'ParseResult'})-[:HAS_FIELD]->(f) RETURN f.name"
"Find all classes in the 'com.example.parser' package.","MATCH (p:Package {name:'com.example.parser'})-[:CONTAINS]->(c:Class) RETURN c.name"
"Get the code for the 'build' method.","MATCH (m:Method {name:'build'}) RETURN m.code"
"Which classes import 'java.io.InputStream'?","MATCH (c:Class)-[:IMPORTS]->(i:Class {name:'java.io.InputStream'}) RETURN c.name"
"Find all methods that have a 'throws' clause.","MATCH (m:Method) WHERE m.signature CONTAINS 'throws' RETURN m.name"
"Find the most commonly called method.","MATCH (caller:Method)-[r:CALLS]->(callee:Method) RETURN callee.name, count(r) ORDER BY count(r) DESC LIMIT 1"
"Show me the path of the 'pom.xml' file.","MATCH (f:File {path:'pom.xml'}) RETURN f.path"
"List all methods that are not 'public', 'private', or 'protected'.","MATCH (m:Method) WHERE NOT m.signature STARTS WITH 'public' AND NOT m.signature STARTS WITH 'private' AND NOT m.signature STARTS WITH 'protected' RETURN m.name"
"Find the class with the name 'XmlBuilder'.","MATCH (c:Class {name:'XmlBuilder'}) RETURN c.name"
"What does the 'buildXml' method call?","MATCH (m:Method {name:'buildXml'})-[:CALLS]->(callee) RETURN callee.name"
"Who calls 'getElement'?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'getElement'}) RETURN caller.name"
"Get all fields for the 'XmlElement' class.","MATCH (c:Class {name:'XmlElement'})-[:HAS_FIELD]->(f) RETURN f.name"
"What interfaces are in the 'xml' package?","MATCH (p:Package {name:'xml'})-[:CONTAINS]->(i:Interface) RETURN i.name"
"Show the signature of 'addAttribute' in 'Element' interface.","MATCH (i:Interface {name:'Element'})-[:HAS_METHOD]->(m:Method {name:'addAttribute'}) RETURN m.signature"
"Which classes are declared as 'final'?","MATCH (c:Class) WHERE c.signature CONTAINS 'final class' RETURN c.name"
"Find all methods whose name starts with 'get'.","MATCH (m:Method) WHERE m.name STARTS WITH 'get' RETURN m.name"
"Get the file path for the 'JsonParser' class.","MATCH (c:Class {name:'JsonParser'}) RETURN c.file_path"
"What does the 'toJson' method call?","MATCH (m:Method {name:'toJson'})-[:CALLS]->(callee) RETURN callee.name"
"Which methods are called by 'fromJson'?","MATCH (m:Method {name:'fromJson'})-[:CALLS]->(callee) RETURN callee.name"
"Find all methods in 'JsonHandler'.","MATCH (c:Class {name:'JsonHandler'})-[:HAS_METHOD]->(m) RETURN m.name"
"Who calls 'writeValue'?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'writeValue'}) RETURN caller.name"
"List the fields for 'JsonResponse' class.","MATCH (c:Class {name:'JsonResponse'})-[:HAS_FIELD]->(f) RETURN f.name"
"Find all interfaces in the 'json' package.","MATCH (p:Package {name:'json'})-[:CONTAINS]->(i:Interface) RETURN i.name"
"Get the code for 'read' method.","MATCH (m:Method {name:'read'}) RETURN m.code"
"Which classes in 'com.example.json' have no fields?","MATCH (p:Package {name:'com.example.json'})-[:CONTAINS]->(c:Class) WHERE NOT (c)-[:HAS_FIELD]->() RETURN c.name"
"Show me all methods that return a 'Map'.","MATCH (m:Method) WHERE m.signature CONTAINS 'Map<' RETURN m.name"
"What is the parent class of 'AbstractHandler'?","MATCH (c:Class {name:'AbstractHandler'}) RETURN c.extension"
"Find circular dependencies between classes.","MATCH (c1:Class)-[:IMPORTS]->(c2:Class), (c2:Class)-[:IMPORTS]->(c1:Class) RETURN c1.name, c2.name"
"List all methods in the 'MathUtil' class.","MATCH (c:Class {name:'MathUtil'})-[:HAS_METHOD]->(m) RETURN m.signature"
"Which other methods call the 'calculate' method?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'calculate'}) RETURN caller.name"
"What are the fields in the 'Matrix' class?","MATCH (c:Class {name:'Matrix'})-[:HAS_FIELD]->(f) RETURN f.name"
"Find all classes in the 'com.example.math' package.","MATCH (p:Package {name:'com.example.math'})-[:CONTAINS]->(c:Class) RETURN c.name"
"Get the method signature for 'multiply' in 'Matrix'.","MATCH (c:Class {name:'Matrix'})-[:HAS_METHOD]->(m:Method {name:'multiply'}) RETURN m.signature"
"What methods does 'add' call?","MATCH (m:Method {name:'add'})-[:CALLS]->(callee) RETURN callee.name"
"Which classes implement the 'Operation' interface?","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name:'Operation'}) RETURN c.name"
"Find all methods that return a 'Double'.","MATCH (m:Method) WHERE m.signature ENDS WITH 'Double' RETURN m.name"
"How many methods does each class in the 'service' package have?","MATCH (p:Package {name:'service'})-[:CONTAINS]->(c:Class)-[:HAS_METHOD]->(m) RETURN c.name, count(m)"
"Show me all the methods in the 'Executor' class.","MATCH (c:Class {name:'Executor'})-[:HAS_METHOD]->(m) RETURN m.signature"
"Who calls the 'submit' method?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'submit'}) RETURN caller.name"
"List all fields in the 'Result' class.","MATCH (c:Class {name:'Result'})-[:HAS_FIELD]->(f) RETURN f.name"
"Find all classes in the 'com.example.concurrent' package.","MATCH (p:Package {name:'com.example.concurrent'})-[:CONTAINS]->(c:Class) RETURN c.name"
"Get the code for the 'get' method of 'Result'.","MATCH (c:Class {name:'Result'})-[:HAS_METHOD]->(m:Method {name:'get'}) RETURN m.code"
"Which classes import 'java.util.concurrent.Future'?","MATCH (c:Class)-[:IMPORTS]->(i:Class {name:'java.util.concurrent.Future'}) RETURN c.name"
"Find all methods that have an annotation '@Override'.","MATCH (m:Method) WHERE m.code CONTAINS '@Override' RETURN m.name"
"Find the deepest method call chain.","MATCH p=(m1:Method)-[:CALLS*]->(m2:Method) RETURN p ORDER BY length(p) DESC LIMIT 1"
"Show me the path of the 'build.xml' file.","MATCH (f:File {path:'build.xml'}) RETURN f.path"
"List all methods that are 'abstract'.","MATCH (m:Method) WHERE m.signature CONTAINS 'abstract' RETURN m.name"
"Find the class with the name 'Factory'.","MATCH (c:Class {name:'Factory'}) RETURN c.name"
"What does the 'create' method call?","MATCH (m:Method {name:'create'})-[:CALLS]->(callee) RETURN callee.name"
"Who calls 'build'?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'build'}) RETURN caller.name"
"Get all fields for the 'Cache' class.","MATCH (c:Class {name:'Cache'})-[:HAS_FIELD]->(f) RETURN f.name"
"What interfaces are in the 'factory' package?","MATCH (p:Package {name:'factory'})-[:CONTAINS]->(i:Interface) RETURN i.name"
"Show the signature of 'newInstance' in 'Factory' interface.","MATCH (i:Interface {name:'Factory'})-[:HAS_METHOD]->(m:Method {name:'newInstance'}) RETURN m.signature"
"Which classes are never instantiated?","MATCH (c:Class) WHERE NOT ()-[:CALLS]->(m:Method {name:c.name}) RETURN c.name"
"Find all methods whose name starts with 'is' or 'has'.","MATCH (m:Method) WHERE m.name STARTS WITH 'is' OR m.name STARTS WITH 'has' RETURN m.name"
"Get the file path for the 'I18n' interface.","MATCH (i:Interface {name:'I18n'}) RETURN i.file_path"
"What does the 'getMessage' method call?","MATCH (m:Method {name:'getMessage'})-[:CALLS]->(callee) RETURN callee.name"
"Which methods are called by 'loadBundle'?","MATCH (m:Method {name:'loadBundle'})-[:CALLS]->(callee) RETURN callee.name"
"Find all methods in 'Locale'.","MATCH (c:Class {name:'Locale'})-[:HAS_METHOD]->(m) RETURN m.name"
"Who calls 'resolve'?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'resolve'}) RETURN caller.name"
"List the fields for 'Bundle' class.","MATCH (c:Class {name:'Bundle'})-[:HAS_FIELD]->(f) RETURN f.name"
"Find all interfaces in the 'i18n' package.","MATCH (p:Package {name:'i18n'})-[:CONTAINS]->(i:Interface) RETURN i.name"
"Get the code for 'getString' method.","MATCH (m:Method {name:'getString'}) RETURN m.code"
"Which classes in 'com.example.i18n' extends another class?","MATCH (p:Package {name:'com.example.i18n'})-[:CONTAINS]->(c:Class) WHERE c.extension IS NOT NULL RETURN c.name"
"Show me all methods that return an 'Array'.","MATCH (m:Method) WHERE m.signature CONTAINS '[]' RETURN m.name"
"What is the parent class of 'BaseRepository'?","MATCH (c:Class {name:'BaseRepository'}) RETURN c.extension"
"Find all data access methods.","MATCH (m:Method) WHERE m.name STARTS WITH 'find' OR m.name STARTS WITH 'get' OR m.name STARTS WITH 'save' OR m.name STARTS WITH 'delete' RETURN m.name"
"List all methods in the 'AccountDao' class.","MATCH (c:Class {name:'AccountDao'})-[:HAS_METHOD]->(m) RETURN m.signature"
"Which other methods call the 'findAccountByName' method?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'findAccountByName'}) RETURN caller.name"
"What are the fields in the 'Account' class?","MATCH (c:Class {name:'Account'})-[:HAS_FIELD]->(f) RETURN f.name"
"Find all classes in the 'com.example.dao' package.","MATCH (p:Package {name:'com.example.dao'})-[:CONTAINS]->(c:Class) RETURN c.name"
"Get the method signature for 'updateAccount' in 'AccountDao'.","MATCH (c:Class {name:'AccountDao'})-[:HAS_METHOD]->(m:Method {name:'updateAccount'}) RETURN m.signature"
"What methods does 'deleteAccount' call?","MATCH (m:Method {name:'deleteAccount'})-[:CALLS]->(callee) RETURN callee.name"
"Which classes implement the 'Dao' interface?","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name:'Dao'}) RETURN c.name"
"Find all methods that return a 'Long'.","MATCH (m:Method) WHERE m.signature ENDS WITH 'Long' RETURN m.name"
"How many methods in 'AccountService' are public?","MATCH (c:Class {name:'AccountService'})-[:HAS_METHOD]->(m) WHERE m.signature STARTS WITH 'public' RETURN count(m)"
"Show me all the methods in the 'Migration' class.","MATCH (c:Class {name:'Migration'})-[:HAS_METHOD]->(m) RETURN m.signature"
"Who calls the 'run' method?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'run'}) RETURN caller.name"
"List all fields in the 'Schema' class.","MATCH (c:Class {name:'Schema'})-[:HAS_FIELD]->(f) RETURN f.name"
"Find all classes in the 'com.example.db' package.","MATCH (p:Package {name:'com.example.db'})-[:CONTAINS]->(c:Class) RETURN c.name"
"Get the code for the 'update' method.","MATCH (m:Method {name:'update'}) RETURN m.code"
"Which classes import 'java.sql.Statement'?","MATCH (c:Class)-[:IMPORTS]->(i:Class {name:'java.sql.Statement'}) RETURN c.name"
"Find all methods that have a 'Connection' parameter.","MATCH (m:Method) WHERE m.signature CONTAINS '(Connection ' RETURN m.name"
"Find the class with the most outgoing method calls.","MATCH (c:Class)-[:HAS_METHOD]->(m)-[r:CALLS]->() RETURN c.name, count(r) ORDER BY count(r) DESC LIMIT 1"
"Show me the path of the 'Dockerfile' file.","MATCH (f:File {path:'Dockerfile'}) RETURN f.path"
"List all methods that are 'strictfp'.","MATCH (m:Method) WHERE m.signature CONTAINS 'strictfp' RETURN m.name"
"Find the class with the name 'Endpoint'.","MATCH (c:Class {name:'Endpoint'}) RETURN c.name"
"What does the 'register' method call?","MATCH (m:Method {name:'register'})-[:CALLS]->(callee) RETURN callee.name"
"Who calls 'unregister'?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'unregister'}) RETURN caller.name"
"Get all fields for the 'EndpointConfig' class.","MATCH (c:Class {name:'EndpointConfig'})-[:HAS_FIELD]->(f) RETURN f.name"
"What interfaces are in the 'endpoint' package?","MATCH (p:Package {name:'endpoint'})-[:CONTAINS]->(i:Interface) RETURN i.name"
"Show the signature of 'handle' in 'Handler' interface.","MATCH (i:Interface {name:'Handler'})-[:HAS_METHOD]->(m:Method {name:'handle'}) RETURN m.signature"
"Which classes have a name collision?","MATCH (c1:Class), (c2:Class) WHERE c1.name = c2.name AND c1.package <> c2.package RETURN c1.name"
"Find all methods whose name is a single character.","MATCH (m:Method) WHERE size(m.name) = 1 RETURN m.name"
"Get the file path for the 'LICENSE' file.","MATCH (f:File {path:'LICENSE'}) RETURN f.path"
"What does the 'main' method call?","MATCH (m:Method {name:'main'})-[:CALLS]->(callee) RETURN callee.name"
"Which methods are called by the constructor of 'App'?","MATCH (m:Method {name:'App'})-[:CALLS]->(callee) RETURN callee.name"
"Find all methods in 'App'.","MATCH (c:Class {name:'App'})-[:HAS_METHOD]->(m) RETURN m.name"
"Who calls 'start'?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'start'}) RETURN caller.name"
"List the fields for 'Context' class.","MATCH (c:Class {name:'Context'})-[:HAS_FIELD]->(f) RETURN f.name"
"Find all interfaces in the main package.","MATCH (p:Package {name:'com.example'})-[:CONTAINS]->(i:Interface) RETURN i.name"
"Get the code for 'init' method.","MATCH (m:Method {name:'init'}) RETURN m.code"
"Which classes in the main package have fields?","MATCH (p:Package {name:'com.example'})-[:CONTAINS]->(c:Class)-[:HAS_FIELD]->(f) RETURN c.name"
"Show me all methods that return 'this'.","MATCH (m:Method) WHERE m.code CONTAINS 'return this' RETURN m.name"
"What is the parent class of 'Generic'?","MATCH (c:Class {name:'Generic'}) RETURN c.extension"
"Find all classes that are part of the public API.","MATCH (c:Class) WHERE c.package STARTS WITH 'com.example.api' RETURN c.name"
"List all methods in the 'Health' class.","MATCH (c:Class {name:'Health'})-[:HAS_METHOD]->(m) RETURN m.signature"
"Which other methods call the 'check' method?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'check'}) RETURN caller.name"
"What are the fields in the 'Status' class?","MATCH (c:Class {name:'Status'})-[:HAS_FIELD]->(f) RETURN f.name"
"Find all classes in the 'com.example.health' package.","MATCH (p:Package {name:'com.example.health'})-[:CONTAINS]->(c:Class) RETURN c.name"
"Get the method signature for 'getStatus' in 'Health'.","MATCH (c:Class {name:'Health'})-[:HAS_METHOD]->(m:Method {name:'getStatus'}) RETURN m.signature"
"What methods does 'ping' call?","MATCH (m:Method {name:'ping'})-[:CALLS]->(callee) RETURN callee.name"
"Which classes implement the 'Indicator' interface?","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name:'Indicator'}) RETURN c.name"
"Find all methods that return an 'enum' type.","MATCH (m:Method)-[:RETURNS]->(e:Enum) RETURN m.name, e.name"
"How many classes implement at least one interface?","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->() RETURN count(c)"
"Show me all the methods in the 'Socket' class.","MATCH (c:Class {name:'Socket'})-[:HAS_METHOD]->(m) RETURN m.signature"
"Who calls the 'onOpen' method?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'onOpen'}) RETURN caller.name"
"List all fields in the 'Session' class.","MATCH (c:Class {name:'Session'})-[:HAS_FIELD]->(f) RETURN f.name"
"Find all classes in the 'com.example.socket' package.","MATCH (p:Package {name:'com.example.socket'})-[:CONTAINS]->(c:Class) RETURN c.name"
"Get the code for the 'onMessage' method.","MATCH (m:Method {name:'onMessage'}) RETURN m.code"
"Which classes import 'java.net.Socket'?","MATCH (c:Class)-[:IMPORTS]->(i:Class {name:'java.net.Socket'}) RETURN c.name"
"Find all methods that have a 'Session' parameter.","MATCH (m:Method) WHERE m.signature CONTAINS '(Session ' RETURN m.name"
"Find classes with more than 20 methods.","MATCH (c:Class)-[:HAS_METHOD]->(m) WITH c, count(m) AS methodCount WHERE methodCount > 20 RETURN c.name"
"Show me the path of the '.gitignore' file.","MATCH (f:File {path:'.gitignore'}) RETURN f.path"
"List all methods that call 'System.exit'.","MATCH (m:Method)-[:CALLS]->(callee:Method {name:'System.exit'}) RETURN m.name"
"Find the class with the name 'Batch'.","MATCH (c:Class {name:'Batch'}) RETURN c.name"
"What does the 'process' method call in 'Batch'?","MATCH (c:Class {name:'Batch'})-[:HAS_METHOD]->(m:Method {name:'process'})-[:CALLS]->(callee) RETURN callee.name"
"Who calls 'start'?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'start'}) RETURN caller.name"
"Get all fields for the 'Job' class.","MATCH (c:Class {name:'Job'})-[:HAS_FIELD]->(f) RETURN f.name"
"What interfaces are in the 'batch' package?","MATCH (p:Package {name:'batch'})-[:CONTAINS]->(i:Interface) RETURN i.name"
"Show the signature of 'run' in 'Job' interface.","MATCH (i:Interface {name:'Job'})-[:HAS_METHOD]->(m:Method {name:'run'}) RETURN m.signature"
"Which classes are part of a batch job?","MATCH (c:Class) WHERE c.package CONTAINS 'batch' RETURN c.name"
"Find all methods whose name contains 'batch'.","MATCH (m:Method) WHERE m.name CONTAINS 'batch' RETURN m.name"
"Get the file path for the 'BatchConfig' class.","MATCH (c:Class {name:'BatchConfig'}) RETURN c.file_path"
"What does the 'step' method call?","MATCH (m:Method {name:'step'})-[:CALLS]->(callee) RETURN callee.name"
"Which methods are called by 'job'?","MATCH (m:Method {name:'job'})-[:CALLS]->(callee) RETURN callee.name"
"Find all methods in 'Reader'.","MATCH (c:Class {name:'Reader'})-[:HAS_METHOD]->(m) RETURN m.name"
"Who calls 'read'?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'read'}) RETURN caller.name"
"List the fields for 'Status' enum.","MATCH (e:Enum {name:'Status'})-[:HAS_FIELD]->(f) RETURN f.name"
"Find all enums in the 'batch.model' package.","MATCH (p:Package {name:'batch.model'})-[:CONTAINS]->(e:Enum) RETURN e.name"
"Get the code for 'write' method in 'Writer'.","MATCH (c:Class {name:'Writer'})-[:HAS_METHOD]->(m:Method {name:'write'}) RETURN m.code"
"Which classes in 'com.example.batch' are listeners?","MATCH (p:Package {name:'com.example.batch'})-[:CONTAINS]->(c:Class) WHERE c.name CONTAINS 'Listener' RETURN c.name"
"Show me all methods that return a 'Job'.","MATCH (m:Method) WHERE m.signature ENDS WITH 'Job' RETURN m.name"
"What is the parent class of 'Abstract'?","MATCH (c:Class {name:'Abstract'}) RETURN c.extension"
"Find all orphaned methods.","MATCH (f:File)-[:CONTAINS_TYPE]->(m:Method) WHERE NOT (f)-[:CONTAINS_TYPE]->(:Class) AND NOT (f)-[:CONTAINS_TYPE]->(:Interface) RETURN m.name"
"List all methods in the 'GQL' class.","MATCH (c:Class {name:'GQL'})-[:HAS_METHOD]->(m) RETURN m.signature"
"Which other methods call the 'query' method?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'query'}) RETURN caller.name"
"What are the fields in the 'GQLRequest' class?","MATCH (c:Class {name:'GQLRequest'})-[:HAS_FIELD]->(f) RETURN f.name"
"Find all classes in the 'com.example.gql' package.","MATCH (p:Package {name:'com.example.gql'})-[:CONTAINS]->(c:Class) RETURN c.name"
"Get the method signature for 'mutation' in 'GQL'.","MATCH (c:Class {name:'GQL'})-[:HAS_METHOD]->(m:Method {name:'mutation'}) RETURN m.signature"
"What methods does 'execute' call?","MATCH (m:Method {name:'execute'})-[:CALLS]->(callee) RETURN callee.name"
"Which classes implement the 'Fetcher' interface?","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name:'Fetcher'}) RETURN c.name"
"Find all methods that return a 'GQLResponse'.","MATCH (m:Method) WHERE m.signature ENDS WITH 'GQLResponse' RETURN m.name"
"How many fields does 'User' class have?","MATCH (c:Class {name:'User'})-[:HAS_FIELD]->(f) RETURN count(f)"
